# file...... ../data_vfd_in_rec_pow_A.csv
# date...... Wed Apr 26 14:48:24 2017
# user...... gour967
# host...... (null)
# target.... vfd 20
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,power_in_A
2017-03-28 00:00:12.220000 PDT,+1530.91+741.454j
2017-03-28 00:00:12.230000 PDT,+1527.2+739.658j
2017-03-28 00:00:12.240000 PDT,+1523.49+737.862j
2017-03-28 00:00:12.250000 PDT,+1519.78+736.064j
2017-03-28 00:00:12.260000 PDT,+1516.07+734.267j
2017-03-28 00:00:12.270000 PDT,+1512.36+732.469j
2017-03-28 00:00:12.280000 PDT,+1508.65+730.672j
2017-03-28 00:00:12.290000 PDT,+1504.94+728.874j
2017-03-28 00:00:12.300000 PDT,+1501.23+727.077j
2017-03-28 00:00:12.310000 PDT,+1497.52+725.281j
2017-03-28 00:00:12.320000 PDT,+1493.81+723.485j
2017-03-28 00:00:12.330000 PDT,+1490.1+721.69j
2017-03-28 00:00:12.340000 PDT,+1486.4+719.895j
2017-03-28 00:00:12.350000 PDT,+1482.7+718.102j
2017-03-28 00:00:12.360000 PDT,+1478.99+716.31j
2017-03-28 00:00:12.370000 PDT,+1475.3+714.519j
2017-03-28 00:00:12.380000 PDT,+1471.6+712.729j
2017-03-28 00:00:12.390000 PDT,+1467.91+710.941j
2017-03-28 00:00:12.400000 PDT,+1464.22+709.154j
2017-03-28 00:00:12.410000 PDT,+1460.53+707.368j
2017-03-28 00:00:12.420000 PDT,+1456.85+705.584j
2017-03-28 00:00:12.430000 PDT,+1453.17+703.801j
2017-03-28 00:00:12.440000 PDT,+1449.49+702.02j
2017-03-28 00:00:12.450000 PDT,+1445.82+700.24j
2017-03-28 00:00:12.460000 PDT,+1442.14+698.462j
2017-03-28 00:00:12.470000 PDT,+1438.48+696.686j
2017-03-28 00:00:12.480000 PDT,+1434.81+694.911j
2017-03-28 00:00:12.490000 PDT,+1431.15+693.138j
2017-03-28 00:00:12.500000 PDT,+1427.49+691.367j
2017-03-28 00:00:12.510000 PDT,+1423.84+689.597j
2017-03-28 00:00:12.520000 PDT,+1420.19+687.829j
2017-03-28 00:00:12.530000 PDT,+1416.54+686.062j
2017-03-28 00:00:12.540000 PDT,+1412.9+684.297j
2017-03-28 00:00:12.550000 PDT,+1409.26+682.534j
2017-03-28 00:00:12.560000 PDT,+1405.62+680.772j
2017-03-28 00:00:12.570000 PDT,+1401.98+679.011j
2017-03-28 00:00:12.580000 PDT,+1398.35+677.253j
2017-03-28 00:00:12.590000 PDT,+1394.72+675.495j
2017-03-28 00:00:12.600000 PDT,+1391.1+673.739j
2017-03-28 00:00:12.610000 PDT,+1387.47+671.985j
2017-03-28 00:00:12.620000 PDT,+1383.85+670.231j
2017-03-28 00:00:12.630000 PDT,+1380.24+668.479j
2017-03-28 00:00:12.640000 PDT,+1376.62+666.729j
2017-03-28 00:00:12.650000 PDT,+1373.01+664.979j
2017-03-28 00:00:12.660000 PDT,+1369.4+663.231j
2017-03-28 00:00:12.670000 PDT,+1365.79+661.484j
2017-03-28 00:00:12.680000 PDT,+1362.19+659.738j
2017-03-28 00:00:12.690000 PDT,+1358.59+657.994j
2017-03-28 00:00:12.700000 PDT,+1354.99+656.25j
2017-03-28 00:00:12.710000 PDT,+1351.39+654.507j
2017-03-28 00:00:12.720000 PDT,+1347.79+652.765j
2017-03-28 00:00:12.730000 PDT,+1344.2+651.024j
2017-03-28 00:00:12.740000 PDT,+1340.6+649.284j
2017-03-28 00:00:12.750000 PDT,+1337.01+647.544j
2017-03-28 00:00:12.760000 PDT,+1333.42+645.806j
2017-03-28 00:00:12.770000 PDT,+1329.83+644.068j
2017-03-28 00:00:12.780000 PDT,+1326.25+642.33j
2017-03-28 00:00:12.790000 PDT,+1322.66+640.594j
2017-03-28 00:00:12.800000 PDT,+1319.08+638.858j
2017-03-28 00:00:12.810000 PDT,+1315.49+637.122j
2017-03-28 00:00:12.820000 PDT,+1311.91+635.387j
